PreCoordinated,Target Type,Major Category,Minor Category,Anatomic Group,N Characters,TG263-Primary Name,TG-263-Reverse Order Name,Description,FMAID,SNOMED-CT Code,SNOMEDCT Term,Qualifiers,Notes,Summary,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,8,CN_VII_R,R_VII_CN,Seventh Cranial Nerve (Facial) Right,50888,56052001,Facial nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,7,CN_VIII,VIII_CN,Eighth Cranial (Vestibulocochlear) Nerve,50869,8598002,Vestibulocochlear nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,9,CN_VIII_L,L_VIII_CN,Eighth Cranial (Vestibulocochlear)  Nerve Left,50891,8598002,Vestibulocochlear nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,9,CN_VIII_R,R_VIII_CN,Eighth Cranial (Vestibulocochlear)  Nerve Right,50890,8598002,Vestibulocochlear nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,5,CN_XI,XI_CN,Eleventh Cranial Nerve (Spinal accessory nerve),6720,15119000,Accessory nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,7,CN_XI_L,L_XI_CN,Eleventh Cranial Nerve (Spinal accessory nerve) Left,50899,15119000,Accessory nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,7,CN_XI_R,R_XI_CN,Eleventh Cranial Nerve (Spinal accessory nerve) Right,50897,15119000,Accessory nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,6,CN_XII,XII_CN,Twelfth Cranial Nerve (Hypoglossal nerve),50871,37899009,Hypoglossal nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,8,CN_XII_L,L_XII_CN,Twelfth Cranial Nerve (Hypoglossal nerve) Left,50903,37899009,Hypoglossal nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,8,CN_XII_R,R_XII_CN,Twelfth Cranial Nerve (Hypoglossal nerve) Right,50901,37899009,Hypoglossal nerve structure (body structure),right,,,,,,,,
,Anatomic,Ear,Cochlea,Head and Neck,7,Cochlea,Cochlea,Cochlea,60201,80169004,Cochlear structure (body structure),,,,,,,,,
x,Anatomic,Ear,Cochlea,Head and Neck,9,Cochlea_L,L_Cochlea,Left Cochlea,60203,80169004,Cochlear structure (body structure),,,,,,,,,
x,Anatomic,Ear,Cochlea,Head and Neck,9,Cochlea_R,R_Cochlea,Right Cochlea,60202,80169004,Cochlear structure (body structure),,,,,,,,,
,Anatomic,Bowel,Colon,Abdomen,5,Colon,Colon,Colon,14543,71854001,Colon structure (body structure),,,,,,,,,
,Anatomic,Bowel,Colon,Abdomen,15,Colon_Ascending,Ascending_Colon,Large bowel - Ascending colon,14545,9040008,Ascending colon structure (body structure),,,,,,,,,
,Anatomic,Bowel,Colon,Abdomen,15,Colon_Decending,Decending_Colon,Large bowel - Descending colon,14547,32622004,Descending colon structure (body structure),,,,,,,,,
,Anatomic,Eye,,Head and Neck,4,Eyes,Eyes,Set of eyes,268861,81745001,Structure of eye proper (body structure),"left, right",,,,,,,,
,Anatomic,Bowel,Colon,Abdomen,13,Colon_Sigmoid,Sigmoid_Colon,Large bowel - Sigmoid colon,14548,60184004,Sigmoid colon structure (body structure),,,,,,,,,
,Anatomic,Bowel,Colon,Abdomen,16,Colon_Transverse,Transverse_Colon,Large bowel -Transverse colon,14546,485005,Transverse colon structure (body structure),,,,,,,,,
,Anatomic,Eye,Cornea,Head and Neck,6,Cornea,Cornea,Cornea,58238,28726007,Corneal structure (body structure),,,,,,,,,
x,Anatomic,Eye,Cornea,Head and Neck,8,Cornea_L,L_Cornea,Cornea Left,58240,28726007,Corneal structure (body structure),left,,,,,,,,
x,Anatomic,Eye,Cornea,Head and Neck,8,Cornea_R,R_Cornea,Cornea Right,58239,28726007,Corneal structure (body structure),right,,,,,,,,
,Anatomic,Bone,Skull,Head and Neck,15,CribriformPlate,CribriformPlate,Cribriform Plate,52890,36743005,Structure of cribriform plate (body structure),,,,,,,,,
,Anatomic,Cartilage,Cricoid,Head and Neck,7,Cricoid,Cricoid,Cricoid cartilage,9615,8600008,Cricoid cartilage structure (body structure),,,,,,,,,
,Anatomic,Pharynx,Constrictors,Head and Neck,15,Cricopharyngeus,Cricopharyngeus,Cricopharyngeal part of inferior pharyngeal constrictor,46661,28276008,Structure of cricopharyngeal part of inferior constrictor pharyngeus muscle (body structure),,,,,,,,,
,Target,CTV,,Body,3,CTV,CTV,Clinical Tumor Volume,,,"Should be used as RadiotherapyVolume type, not treatment location",,,,,,,,,
,Anatomic,Gallbladder,,Pelvis,11,Gallbladder,Gallbladder,Gall bladder,7202,28231008,Gallbladder structure (body structure),,,,,,,,,
,Anatomic,Reproductive,,Pelvis,8,Genitals,Genitals,Genitals,45643,71934003,Genital structure (body structure),,,,,,,,,
,Anatomic,Gland,Lacrimal,Head and Neck,13,Glnd_Lacrimal,Lacrimal_Glnd,Lacrimal Gland,59101,13561001,Lacrimal gland structure (body structure),,,,,,,,,
x,Non-Anatomic,Body,,Body,15,E-PTV_Ev05_xxxx,E-PTV_Ev05_xxxx,All tissue excluding the 5 mm expanded PTV. Generated by subtracting the 5 mm expanded PTV receiving a dose of xxxx cGy from the external contour.,,,,,,,,,,,,
x,Non-Anatomic,Derived,,Body,10,E-PTV_xxxx,E-PTV_xxxx,All tissue excluding the PTV. Generated by subtracting the PTV receiving a dose of xxxx cGy from the external contour.,,,,,,,,,,,,
x,Anatomic,Ear,External,Head and Neck,14,Ear_External_L,L_External_Ear,External Ear Left,53644,117590005,Ear structure (body structure),,,,,,,,,
x,Anatomic,Ear,External,Head and Neck,14,Ear_External_R,R_External_Ear,External Ear Right,53643,117590005,Ear structure (body structure),"external, left",,,,,,,,
x,Anatomic,Ear,External,Head and Neck,13,Ear_Externals,Externals_Ear,External Ear,52781,117590005,Ear structure (body structure),external,,,,,,,,
x,Anatomic,Ear,Internal,Head and Neck,14,Ear_Internal_L,L_Internal_Ear,Internal Ear Left,61021,117590005,Ear structure (body structure),"internal, left",,,,,,,,
x,Anatomic,Ear,Internal,Head and Neck,14,Ear_Internal_R,R_Internal_Ear,Internal Ear Right,61020,117590005,Ear structure (body structure),"internal, right",,,,,,,,
x,Anatomic,Ear,Internal,Head and Neck,13,Ear_Internals,Internals_Ear,Internal Ear,60909,117590005,Ear structure (body structure),internal,,,,,,,,
x,Anatomic,Ear,Middle,Head and Neck,10,Ear_Middle,Middle_Ear,Middle Ear,56513,117590005,Ear structure (body structure),middle,,,,,,,,
x,Anatomic,Ear,Middle,Head and Neck,12,Ear_Middle_L,L_Middle_Ear,Middle Ear Left,56515,117590005,Ear structure (body structure),"middle, left",,,,,,,,
x,Anatomic,Ear,Middle,Head and Neck,12,Ear_Middle_R,R_Middle_Ear,Middle Ear Right,56514,117590005,Ear structure (body structure),"middle, right",,,,,,,,
,Anatomic,Gland,,Thorax,16,Glnd_Parathyroid,Parathyroid_Glnd,Parathyroid gland,13890,111002,Parathyroid structure (body structure),,,,,,,,,
,Anatomic,Joint,,Limbs,5,Elbow,Elbow,Elbow,24901,127949000,Elbow region structure (body structure),,,,,,,,,
x,Anatomic,Joint,,Limbs,7,Elbow_L,L_Elbow,Elbow Left,24903,127949000,Elbow region structure (body structure),Left,,,,,,,,
x,Anatomic,Joint,,Limbs,7,Elbow_R,R_Elbow,Elbow Right,24902,127949000,Elbow region structure (body structure),right,,,,,,,,
,Anatomic,Esophagus,,Thorax,9,Esophagus,Esophagus,Esophagus,7131,32849002,Esophageal structure (body structure),,,,,,,,,
x,Anatomic,Esophagus,,Thorax,11,Esophagus_I,I_Esophagus,Lower Esophagus (abdominal),9397,32849002,Esophageal structure (body structure),lower,,,,,,,,
x,Anatomic,Esophagus,,Thorax,11,Esophagus_M,M_Esophagus,Middle Esophagus (thoracic),9396,32849002,Esophageal structure (body structure),middle,,,,,,,,
x,Anatomic,Esophagus,,Thorax,14,Esophagus_NAdj,NAdj_Esophagus,Non Adjacent Esophagus,,32849002,Esophageal structure (body structure),non-adjacent,,,,,,,,
,Anatomic,Gland,Sublingual,Head and Neck,13,Glnd_Sublings,Sublings_Glnd,Sublingual gland,320440,88481005,Sublingual gland structure (body structure),,,,,,,,,
,Non-Anatomic,Body,,Body,4,Eval,Eval,Evaluation Structure,,,,,,,,,,,,
,Anatomic,Gland,Submandibular,Head and Neck,13,Glnd_Submands,Submands_Glnd,Submandibular Gland,320442,385296007,Submandibular salivary gland structure (body structure),,,,,,,,,
x,Anatomic,Eye,Eyeball,Head and Neck,5,Eye_L,L_Eye,Eyeball Left,12515,81745001,Structure of eye proper (body structure),left,,,,,,,,
x,Anatomic,Eye,Eyeball,Head and Neck,5,Eye_R,R_Eye,Eyeball Right,12514,81745001,Structure of eye proper (body structure),right,,,,,,,,
,Anatomic,Gland,Thymus,Thorax,11,Glnd_Thymus,Thymus_Glnd,Thymus Gland,9607,9875009,Thymus gland structure (body structure),,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,12,Femur_Base_L,L_Base_Femur,Femur Base Left,32846,13348000,Structure of base of neck of femur (body structure),left,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,12,Femur_Base_R,R_Base_Femur,Femur Base Right,32845,13348000,Structure of base of neck of femur (body structure),right,,,,,,,,
,Anatomic,Gland,Thyroid,Thorax,12,Glnd_Thyroid,Thyroid_Glnd,Thyroid Gland,9603,69748006,Thyroid structure (body structure),,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,12,Femur_Head_L,L_Head_Femur,Femur Head & Neck Left,32843,,,left,"Does this need neck included (see codes for femur neck below)? Suggest: 2812003 | Structure of head of femur (body structure) |. PER MARK ""femur head and neck are two distinct parts of the femur. I don’t know why they describe the R_Head_Femur as Femur Head & Neck Right. If they really mean to include both, then we have the use case for multiple body structure codes (and BodyStructure cannot do that).""",Discuss with Chuck Mayo,,,,,,
x,Anatomic,Bone,Femur,Pelvis,12,Femur_Head_R,R_Head_Femur,Femur Head & Neck Right,32842,,,right,,Discuss with Chuck Mayo,,,,,,
x,Anatomic,Joint,Femur,Pelvis,13,Femur_Joint_L,L_Joint_Femur,Femoral Joint Left,35180,24136001,Hip joint structure (body structure),left,,,,,,,,
x,Anatomic,Joint,Femur,Pelvis,13,Femur_Joint_R,R_Joint_Femur,Femoral Joint Right,35179,24136001,Hip joint structure (body structure),right,,,,,,,,
,Anatomic,Bone,Femur,Limb,5,Femur,Femur,Femur  Whole ,24475,71341001,Bone structure of femur (body structure),,,,,,,,,
x,Anatomic,Bone,Femur,Limb,7,Femur_L,L_Femur,Femur  Whole  Left,24475,71341001,Bone structure of femur (body structure),left,,,,,,,,
,Anatomic,Bone,Femur,Pelvis,10,Femur_Neck,Neck_Femur,Femur Neck,42386,29627003,Structure of neck of femur (body structure),,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,12,Femur_Neck_L,L_Neck_Femur,Femur Neck Right,42386,71341001,Bone structure of femur (body structure),right,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,12,Femur_Neck_R,R_Neck_Femur,Femur Neck Left,42387,29627003,Structure of neck of femur (body structure),left,,,,,,,,
x,Anatomic,Bone,Femur,Limb,7,Femur_R,R_Femur,Femur Whole Right,24474,71341001,Bone structure of femur (body structure),Right,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,13,Femur_Shaft_L,L_Shaft_Femur,Femur Shaft Left,32849,41111004,Bone structure of shaft of femur (body structure),left,,,,,,,,
x,Anatomic,Bone,Femur,Pelvis,13,Femur_Shaft_R,R_Shaft_Femur,Femur Shaft Right,32848,41111004,Bone structure of shaft of femur (body structure),right,,,,,,,,
,Anatomic,Bone,Femur,Limb,6,Femurs,Femurs,Both Femurs,9611,71341001,Bone structure of femur (body structure),"left,right",,,,,,,,
,Anatomic,Bone,Fibula,Limbs,6,Fibula,Fibula,Fibula,24479,87342007,Bone structure of fibula (body structure),,,,,,,,,
x,Anatomic,Bone,Fibula,Limbs,8,Fibula_L,L_Fibula,Fibula Left,24481,87342007,Bone structure of fibula (body structure),left,,,,,,,,
x,Anatomic,Bone,Fibula,Limbs,8,Fibula_R,R_Fibula,Fibula Right,24480,87342007,Bone structure of fibula (body structure),right,,,,,,,,
,Non-Anatomic,Bladder,,Pelvis,5,Foley,Foley,Foley Catheter,,,73368009 Foley catheter (physical object),,RTTD 100521 -- Exclude,,,,,,,
,Anatomic,Glottis,,Head and Neck,7,Glottis,Glottis,Glottis,55414,1307006,Glottis structure (body structure),,,,,,,,,
,Anatomic,Heart,,Thorax,8,GreatVes,GreatVes,"Great Vessels of the heart (aorta, vena cava S&I, pulmonary A&V)",,3711007,Structure of great blood vessel (organ) (body structure),,,,,,,,,
,Anatomic,Heart,,Thorax,13,GreatVes_NAdj,NAdj_GreatVes,Non Adjacent Great Vessels,,3711007,Structure of great blood vessel (organ) (body structure),non-adjacent,,,,,,,,
,Anatomic,Head,Mouth,Head and Neck,10,Hardpalate,Hardpalate,Hard palate,55023,90228003,Hard palate structure (body structure),,,,,,,,,
,Anatomic,Gland,Adrenal,Thorax,12,Glnd_Adrenal,Adrenal_Glnd,Adrenal glands ,,23451007,"""Adrenal structure (body structure)""",,,,,,,,,
x,Anatomic,Gland,Adrenal,Thorax,14,Glnd_Adrenal_L,L_Adrenal_Glnd,Adrenal glands left,15629,23451007,"""Adrenal structure (body structure)""",left,,,,,,,,
x,Anatomic,Gland,Adrenal,Thorax,14,Glnd_Adrenal_R,R_Adrenal_Glnd,Adrenal glands right,15630,23451007,"""Adrenal structure (body structure)""",right,,,,,,,,
,Anatomic,Heart,,Thorax,5,Heart,Heart,Heart,7088,80891009,Heart structure (body structure),,,,,,,,,
x,Anatomic,Gland,Lacrimal,Head and Neck,15,Glnd_Lacrimal_L,L_Lacrimal_Glnd,Lacrimal Gland Left,59103,13561001,Lacrimal gland structure (body structure),left,,,,,,,,
x,Anatomic,Gland,Lacrimal,Head and Neck,15,Glnd_Lacrimal_R,R_Lacrimal_Glnd,Lacrimal Gland Right,59102,13561001,Lacrimal gland structure (body structure),right,,,,,,,,
x,Anatomic,Brain,Hemisphere,Head and Neck,11,Hemispheres,Hemispheres,,,6566002,Cerebellar hemisphere structure (body structure),"left,right",,,,,,,,
x,Anatomic,Gland,Sublingual,Head and Neck,14,Glnd_Subling_L,L_Subling_Glnd,Sublingual gland,59805,88481005,Sublingual gland structure (body structure),left,,,,,,,,
x,Anatomic,Gland,Sublingual,Head and Neck,14,Glnd_Subling_R,R_Subling_Glnd,Sublingual gland,59804,88481005,Sublingual gland structure (body structure),right,,,,,,,,
,Anatomic,Brain,Hippocampus,Head and Neck,10,Hippocampi,Hippocampi,Hippocampus,275020,5366008,Hippocampal structure (body structure),,,,,,,,,
x,Anatomic,Gland,Submandibular,Head and Neck,14,Glnd_Submand_L,L_Submand_Glnd,Submandibular Gland Left,59803,385296007,Submandibular salivary gland structure (body structure),left,,,,,,,,
x,Anatomic,Gland,Submandibular,Head and Neck,14,Glnd_Submand_R,R_Submand_Glnd,Submandibular Gland Right,59802,385296007,Submandibular salivary gland structure (body structure),right,,,,,,,,
,Anatomic,Brain,Hypothalamus,Head and Neck,11,Hypothalmus,Hypothalmus,Hypothalamus,62008,67923007,Hypothalamic structure (body structure),,,,,,,,,
,Anatomic,Gut,,Abdomen,5,Ileum,Ileum,Small bowel - Ileum,7208,34516001,Ileal structure (body structure),,,,,,,,,
,Anatomic,Gut,Small Bowel,Abdomen,7,Jejunum,Jejunum,Small bowel - Jejunum,7207,21306003,Jejunal structure (body structure),,,,,,,,,
,Anatomic,Gut,,Abdomen,13,Jejunum_Ileum,Jejunum_Ileum,Both ileum and jejunum,,90228003,Jejunum and ileum (combined site) (body structure),,,,,,,,,
,Anatomic,Joint,,Limbs,11,Joint_Elbow,Elbow_Joint,Elbow joint,35289,16953009,Elbow joint structure (body structure),,,,,,,,,
,Anatomic,Joint,Small Bowel,Limbs,14,Joint_Glenohum,Glenohum_Joint,Glenohumeral Joint,25912,85537004,Glenohumeral joint structure (body structure),,,,,,,,,
x,Anatomic,Bone,,Body,13,GrowthPlate_L,L_GrowthPlate,,,711190000,Structure of epiphyseal plate (body structure),left,,,,,,,,
x,Anatomic,Bone,,Body,13,GrowthPlate_R,R_GrowthPlate,,,711190000,Structure of epiphyseal plate (body structure),right,,,,,,,,
,Target,GTV,,Body,3,GTV,GTV,Gross Tumor Volume,,,"Should be used as RadiotherapyVolume type, not treatment location",,,Discuss with Chuck Mayo -- volume types include GTV,,,,,,
,Anatomic,Joint,Glenohumeral,Body,13,Joint_Surface,Surface_Joint,,,39352004,Joint structure (body structure) ,Surface,,Discuss with Chuck Mayo,,,,,,
,Anatomic,Joint,Glenohumeral,Head and Neck,8,Joint_TM,TM_Joint,Temperomandibular Joint ,54832,53620006,Temporomandibular joint structure (body structure),,,,,,,,,
x,Anatomic,Brain,Hemisphere,Head and Neck,12,Hemisphere_L,L_Hemisphere,,61819,6566002,Cerebellar hemisphere structure (body structure),left,,,,,,,,
x,Anatomic,Brain,Hemisphere,Head and Neck,12,Hemisphere_R,R_Hemisphere,,67292,6566002,Cerebellar hemisphere structure (body structure),right,,,,,,,,
,Anatomic,Urinary,Kidney,Abdomen,13,Kidney_Cortex,Cortex_Kidney,Renal cortex for both Kidneys,15581,50403003,Structure of cortex of kidney (body structure),"left, right",,,,,,,,
,Anatomic,Urinary,Kidney,Abdomen,13,Kidney_Hilums,Hilums_Kidney,Renal Hilum for both Kidneys,15610,74033008,Structure of hilum of kidney (body structure),"left, right",,,,,,,,
x,Anatomic,Brain,Hippocampus,Head and Neck,13,Hippocampus_L,L_Hippocampus,Hippocampus Left,275024,5366008,Hippocampal structure (body structure),left,,,,,,,,
x,Anatomic,Brain,Hippocampus,Head and Neck,13,Hippocampus_R,R_Hippocampus,Hippocampus Right,275022,5366008,Hippocampal structure (body structure),right,,,,,,,,
x,Anatomic,Bone,Humerus,Limbs,9,Humerus_L,L_Humerus,Humerus Left,23131,85050009,Bone structure of humerus (body structure),left,,,,,,,,
x,Anatomic,Bone,Humerus,Limbs,9,Humerus_R,R_Humerus,Humerus Right,23130,85050009,Bone structure of humerus (body structure),right,,,,,,,,
,Anatomic,Urinary,Kidney,Abdomen,7,Kidneys,Kidneys,Both Kidneys,264815,64033007,Kidney structure (body structure),"left, right",,,,,,,,
,PRV,Brain,Hypothalamus,Head and Neck,15,Hypothalmus_PRV,PRV_Hypothalmus,,,,,,,,,,,,,
,PRV,Brain,Hypothalamus,Head and Neck,16,Hypothalmus_PRVx,PRVx_Hypothalmus,,,,,,,,,,,,,
,Non-Anatomic,Dose,,Body,3,IDL,IDL,Isodose Line e.g. IDL_5000 isodose line for 50 Gy,,,,,,,,,,,,
,Anatomic,Joint,,Limbs,4,Knee,Knee,Knee,24974,72696002,Knee region structure (body structure),,,,,,,,,
,Target,ITV,,Body,3,ITV,ITV,Internal Target Volume,,,No Snomed Term (yet),,no SNOMED-CT concept for ITV (Internal Target Volume) - if frequently needed in Rad Therapy - would need to request this to be developed?,Discuss with Chuck Mayo.  Do we need to request another child for 228790005 |Irradiated volume (observable entity)| ?,,,,,,
,Anatomic,Tissue,Laryngeal pharynx,Head and Neck,15,Laryngl_Pharynx,Pharynx_Laryngl,Laryngeal pharynx,54880,54066008,Pharyngeal structure (body structure) ,Laryngeal,,,,,,,,
,Anatomic,Larynx,,Head and Neck,6,Larynx,Larynx,Larynx,55097,4596009,Laryngeal structure (body structure),,,,,,,,,
,Anatomic,Larynx,,Head and Neck,9,Larynx_SG,SG_Larynx,Supraglottic Larynx,55476,86483002,Structure of supraglottic space (body structure),,,,,,,,,
x,Anatomic,Joint,,Limbs,13,Joint_Elbow_L,L_Elbow_Joint,Left Elbow joint,35295,16953009,Elbow joint structure (body structure),left,,,,,,,,
x,Anatomic,Joint,,Limbs,13,Joint_Elbow_R,R_Elbow_Joint,Right Elbow joint,35294,16953009,Elbow joint structure (body structure),right,,,,,,,,
,Anatomic,Eye,Lens,Head and Neck,4,Lens,Lens,Eye Lens,58241,78076003,Structure of lens of eye (body structure),,,,,,,,,
x,Anatomic,Joint,Small Bowel,Limbs,16,Joint_Glenohum_L,L_Glenohum_Joint,Glenohumeral Joint Left,25929,85537004,Glenohumeral joint structure (body structure),left,,,,,,,,
x,Anatomic,Joint,Glenohumeral,Limbs,16,Joint_Glenohum_R,R_Glenohum_Joint,Glenohumeral Joint Right,25927,85537004,Glenohumeral joint structure (body structure),right,,,,,,,,
,Anatomic,Ligament,Hepatogastric,Abdomen,16,Lig_Hepatogastrc,Hepatogastrc_Lig,Hepatogastric ligament,16520,6544009,Structure of gastrohepatic ligament (body structure),,,,,,,,,
,Anatomic,Feature,,Head and Neck,4,Lips,Lips,Lips,59815,81083006,Both lips (body structure),,,,,,,,,
x,Anatomic,Joint,Temperomandibular,Head and Neck,10,Joint_TM_L,L_TM_Joint,Temperomandibular Joint Left,54834,53620006,Temporomandibular joint structure (body structure),left,,,,,,,,
x,Anatomic,Joint,Temperomandibular,Head and Neck,10,Joint_TM_R,R_TM_Joint,Temperomandibular Joint Right,54833,53620006,Temporomandibular joint structure (body structure),right,,,,,,,,
,Anatomic,Liver,,Abdomen,5,Liver,Liver,Liver,7197,10200004,Liver structure (body structure),,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,15,Kidney_Cortex_L,L_Cortex_Kidney,Renal cortex left,15584,50403003,Structure of cortex of kidney (body structure),left,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,15,Kidney_Cortex_R,R_Cortex_Kidney,Renal cortex right,15583,50403003,Structure of cortex of kidney (body structure),right,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,14,Kidney_Hilum_L,L_Hilum_Kidney,Renal Hilum Left,15942,74033008,Structure of hilum of kidney (body structure),left,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,14,Kidney_Hilum_R,R_Hilum_Kidney,Renal Hilum Right,15941,74033008,Structure of hilum of kidney (body structure),right,,,,,,,,
,Anatomic,Brain,Lobe,Head and Neck,12,Lobe_Frontal,Frontal_Lobe,Frontal Lobe,61824,83251001,Frontal lobe structure (body structure),,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,8,Kidney_L,L_Kidney,Kidney Left,7205,64033007,Kidney structure (body structure),left,,,,,,,,
,Derived,Urinary,Kidney,Abdomen,12,Kidney_L-GTV,L_Kidney-GTV,,,,,,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,15,Kidney_Pelvis_L,L_Pelvis_Kidney,Renal pelvis Left,15579,25990002,Renal pelvis structure (body structure),left,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,15,Kidney_Pelvis_R,R_Pelvis_Kidney,Renal pelvis Right,15578,25990002,Renal pelvis structure (body structure),right,,,,,,,,
x,Anatomic,Urinary,Kidney,Abdomen,8,Kidney_R,R_Kidney,Kidney Right,7204,64033007,Kidney structure (body structure),right,,,,,,,,
,Derived,Urinary,Kidney,Abdomen,12,Kidney_R-GTV,R_Kidney-GTV,,,,,,,,,,,,,
,Derived,Urinary,Kidney,Abdomen,10,Kidney-GTV,Kidney-GTV,,,,,,,,,,,,,
,Anatomic,Brain,Occipital Lobe,Head and Neck,14,Lobe_Occipital,Occipital_Lobe,Occipital Lobe,67325,31065004,Occipital lobe structure (body structure),,,,,,,,,
,Anatomic,Brain,Lobe,Head and Neck,13,Lobe_Parietal,Parietal_Lobe,Parietal Lobe,61826,16630005,Parietal lobe structure (body structure),,,,,,,,,
x,Anatomic,Joint,,Limbs,6,Knee_L,L_Knee,Knee Left,24978,72696002,Knee region structure (body structure),left,,,,,,,,
x,Anatomic,Joint,,Limbs,6,Knee_R,R_Knee,Knee Right,24977,72696002,Knee region structure (body structure),right,,,,,,,,
,Anatomic,Brain,Temporal,Head and Neck,13,Lobe_Temporal,Temporal_Lobe,Temporal Lobe,61825,78277001,Temporal lobe structure (body structure),,,,,,,,,
,Anatomic,Heart,,Thorax,11,Mediastinum,Mediastinum,Mediastinum,9826,72410000,Mediastinal structure (body structure),,,,,,,,,
,Anatomic,Muscle,,Body,4,Musc,Musc,Muscle,30316,71616004,Skeletal and/or smooth muscle structure (body structure),,,,,,,,,
,Non_Anatomic,Devices,,Body,5,Leads,Leads,,,,,,RTTD 100521 -- Exclude,Discuss with Chuck Mayo,,,,,,
,Anatomic,Muscle,Constrictors,Head and Neck,14,Musc_Constrict,Constrict_Musc,Constrictor Muscle of Pharynx,46620,4866005,Constrictor muscle of pharynx structure (body structure),,,,,,,,,
x,Anatomic,Eye,Lens,Head and Neck,6,Lens_L,L_Lens,Lens Left,58243,78076003,Structure of lens of eye (body structure),left,,,,,,,,
x,Anatomic,Eye,Lens,Head and Neck,6,Lens_R,R_Lens,Lens Right,58242,78076003,Structure of lens of eye (body structure),right,,,,,,,,
,Anatomic,Muscle,Masseter,Head and Neck,13,Musc_Masseter,Masseter_Musc,Masseter Muscle,48996,79368004,Masseter muscle structure (body structure),,,,,,,,,
,Anatomic,Muscle,Temporal,Head and Neck,15,Musc_Temporal_R,R_Temporal_Musc,Temporal muscle - Right,49007,52927003,Structure of temporalis muscle (body structure),right,,,,,,,,
,Anatomic,Nose,Nasal,Head and Neck,11,Nasopharynx,Nasopharynx,Nasal part of pharynx,54878,71836000,Nasopharyngeal structure (body structure),,,,,,,,,
,Derived,Liver,,Abdomen,9,Liver-CTV,Liver-CTV,,,,,,,,,,,,,
,Derived,Liver,,Abdomen,9,Liver-GTV,Liver-GTV,Liver minus GTV,,,,,,,,,,,,
,Anatomic,Lymph Node,,Body,2,LN,LN,Lymph Node,5034,59441001,Structure of lymph node (body structure),,,,,,,,,
,Anatomic,Lymph Node,Axillary,Thorax,12,LN_Ax_Apical,Apical_Ax_LN,Set of apical axillary lymphatic vessels,23394,16051009, Structure of apical axillary lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,14,LN_Ax_Apical_L,L_Apical_Ax_LN,Axillary lymphatic chain - Apical Left,73265,16051009, Structure of apical axillary lymph node (body structure),Left,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,14,LN_Ax_Apical_R,R_Apical_Ax_LN,Axillary lymphatic chain - Apical Right,73264,16051009, Structure of apical axillary lymph node (body structure),Right,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Central_L,L_Central_Ax_LN,Axillary lymphatic chain - Central Left,73263,16051009, Structure of apical axillary lymph node (body structure),"central, left",,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Central_R,R_Central_Ax_LN,Axillary lymphatic chain - Central Right,73262,16051009, Structure of apical axillary lymph node (body structure),"central, right",,,,,,,,
,Anatomic,Lymph Node,Axillary,Thorax,14,LN_Ax_Centrals,Centrals_Ax_LN,Set of central axillary lymphatic vessels,233482,283001,Structure of central axillary lymph node (body structure) |,,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,7,LN_Ax_L,L_Ax_LN,Axillary lymphatic chain Left,73250,68171009,Axillary lymph node structure (body structure),Left,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,10,LN_Ax_L1_L,L_L1_Ax_LN,Level 1 Axillary Lymph Node Left,276001,68171009,Axillary lymph node structure (body structure),"Level 1, Left",,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,10,LN_Ax_L1_R,R_L1_Ax_LN,Level 1 Axillary Lymph Node Right,275999,68171009,Axillary lymph node structure (body structure),"Level 1, Right",,,,,,,,
